GMI_ADMIN,NAME,CNTRY_NAME,VALUE,YEAR,CODE
CNTRY_Russia,?????,Russia,170100,1985,1_1_0_0
CNTRY_Ukraine,?????????? ???,Ukraine,59400,1985,1_2_0_0
CNTRY_Byelarus,??????????? ???,Byelarus,12500,1985,1_3_0_0
CNTRY_Uzbekistan,????????? ???,Uzbekistan,19600,1985,1_4_0_0
CNTRY_Kazakhstan,????????? ???,Kazakhstan,18400,1985,1_5_0_0
CNTRY_Georgia,?????????? ???,Georgia,8500,1985,1_6_0_0
CNTRY_Azerbaijan,??????????????? ???,Azerbaijan,10300,1985,1_7_0_0
CNTRY_Lithuania,????????? ???,Lithuania,4400,1985,1_8_0_0
CNTRY_Moldova,?????????? ???,Moldova,5000,1985,1_9_0_0
CNTRY_Latvia,?????????? ???,Latvia,3500,1985,1_10_0_0
CNTRY_Kyrgyzstan,?????????? ???,Kyrgyzstan,3700,1985,1_11_0_0
CNTRY_Tajikistan,?????????? ???,Tajikistan,4800,1985,1_12_0_0
CNTRY_Armenia,????????? ???,Armenia,4900,1985,1_13_0_0
CNTRY_Turkmenistan,??????????? ???,Turkmenistan,3400,1985,1_14_0_0
CNTRY_Estonia,????????? ???,Estonia,2300,1985,1_15_0_0
